% Device,CC1838007
% File name,CC1838007_20210702_220754
% Cast time (UTC),2021-07-02 22:07:54
% Cast time (local),2021-07-02 14:07:54
% Sample type,Cast
% Cast data,Processed
% Location source,GPS
% Default latitude,32
% Default altitude,0
% Start latitude,59.8525072
% Start longitude,-140.1477868
% Start altitude,13.661999702453613
% Start GPS horizontal error(Meter),2.937999963760376
% Start GPS vertical error(Meter),4.2979998588562012
% Start GPS number of satellites,15
% End latitude,59.8525827
% End longitude,-140.1475903
% End altitude,9.2709999084472656
% End GPS horizontal error(Meter),12.553999900817871
% End GPS vertical error(Meter),21.548999786376953
% End GPS number of satellites,12
% Cast duration (Seconds),47.4
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2018-09-19
% Temperature calibration date,2018-09-18
% Pressure calibration date,2018-09-17
% 
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.15275170555959577,5.9421580347481511,229.14094294051188,370.27304734722418,0.17128784864472332,1430.5695074424823,1000.0826992215316
0.44999999999999996,0.4582500171669166,5.6939644771944771,225.66597181814882,367.60642631520921,0.16977019127065288,1429.4819391298775,1000.0901816794034
0.74999999999999989,0.7637453291087789,4.6175045893677718,217.779329977689,367.6530703668202,0.1686571552970012,1424.6808432419573,1000.1112233808021
1.05,1.0692371705856334,4.48071973152248,215.83422821274169,366.05997102228025,0.16774749654680635,1424.0649941521065,1000.1132838096711
1.35,1.3747284513181541,4.4649215767382833,216.32621052696609,367.09110180993912,0.16821777167395638,1423.9986498634321,1000.1152744994008
1.65,1.6802189298333174,4.3919278956447592,218.3552861639154,371.45451455103574,0.1702033177830044,1423.6745172396622,1000.1189160147417
2.0654059858883134,2.1032264727671985,4.4695469628648565,219.22517086625851,371.95205467954491,0.17052668108845867,1424.0338852073373,1000.1206216426224
