% Device,CC1838007
% File name,CC1838007_20210629_180520
% Cast time (UTC),2021-06-29 18:05:20
% Cast time (local),2021-06-29 10:05:20
% Sample type,Cast
% Cast data,Processed
% Location source,GPS
% Default latitude,32
% Default altitude,0
% Start latitude,59.7192124
% Start longitude,-140.6371202
% Start altitude,8.4659996032714844
% Start GPS horizontal error(Meter),7.3420000076293945
% Start GPS vertical error(Meter),8.7749996185302734
% Start GPS number of satellites,8
% End latitude,59.7191963
% End longitude,-140.6368203
% End altitude,7.0219998359680176
% End GPS horizontal error(Meter),11.949000358581543
% End GPS vertical error(Meter),13.465000152587891
% End GPS number of satellites,8
% Cast duration (Seconds),51.2
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2018-09-19
% Temperature calibration date,2018-09-18
% Pressure calibration date,2018-09-17
% 
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.15251661233149963,5.5736141448474141,2505.8369684699942,4098.03851876685,2.1038329797255346,1431.4510087823596,1001.633341920314
0.44999999999999996,0.45753447975156042,5.6128526119128308,2628.3205196023487,4292.8382939712574,2.2102165408763583,1431.7648791357312,1001.7180693293599
0.74999999999999989,0.76251355543693466,5.2785890343088155,2832.9590930770055,4678.1557255969992,2.4167480989927044,1430.5621423637481,1001.8937980404978
1.05,1.0673150417821116,4.7131424821728922,4104.990631049408,6907.7019260286834,3.6448440061525358,1429.6343071924507,1002.8863055323546
1.35,1.3714557171278832,4.4654699628662771,8377.73853714574,14216.197039625955,7.8777222292572775,1433.9666990236133,1006.2551392863397
1.65,1.6747462029145164,4.4816205253618717,11165.394497332925,18936.195328421276,10.729314718682739,1437.6859764265084,1008.5156072275604
1.9500000000000002,1.9773385543499815,4.0571005843221233,13848.890754399792,23830.475986774843,13.719072961071516,1439.6357642441872,1010.9042281377999
2.25,2.2792381700629112,3.7256308785072316,16291.166946968071,28356.499837845618,16.528646762599347,1441.77343960252,1013.1493781411107
2.55,2.5807449800426956,3.4959282761110981,16613.637310818631,29150.8968401396,17.004000371124825,1441.3714470049076,1013.5391426568766
2.85,2.8818728035221386,3.4157694957328251,18995.239426013723,33423.763922469574,19.720895415408748,1444.5136949133805,1015.7026918918316
