% Device,CC1838007
% File name,CC1838007_20210629_183158
% Cast time (UTC),2021-06-29 18:31:58
% Cast time (local),2021-06-29 10:31:58
% Sample type,Cast
% Cast data,Processed
% Location source,GPS
% Default latitude,32
% Default altitude,0
% Start latitude,59.7125293
% Start longitude,-140.6315038
% Start altitude,7.3039999008178711
% Start GPS horizontal error(Meter),5.6570000648498535
% Start GPS vertical error(Meter),7.0910000801086426
% Start GPS number of satellites,8
% End latitude,59.7122152
% End longitude,-140.6308438
% End altitude,8.08899974822998
% End GPS horizontal error(Meter),14.140000343322754
% End GPS vertical error(Meter),17.11199951171875
% End GPS number of satellites,8
% Cast duration (Seconds),129.6
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2018-09-19
% Temperature calibration date,2018-09-18
% Pressure calibration date,2018-09-17
% 
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.1525319023720528,5.138672443896481,2317.7589569896054,3845.15768122193,1.9624745655380955,1429.3464286629296,1001.5331098350962
0.44999999999999996,0.4575935464784997,5.2098558157573374,2323.2289778802533,3845.1507217529761,1.9631833858398478,1429.668102371043,1001.5333551847144
0.74999999999999989,0.76265048197648766,5.2341845457685281,2373.6930628136911,3925.511963486882,2.0068188874425976,1429.8370410948135,1001.5689245129871
1.05,1.0676853741316443,5.3132387412506725,2534.017613753967,4179.7210047134313,2.1453723651720256,1430.3705229619411,1001.6784944941128
1.35,1.3726343063389959,5.0124909135691826,3128.5210243980046,5212.0316061196118,2.7063104994181688,1429.7642738523102,1002.1340824199168
1.65,1.6766851781583962,4.6006083253797723,10100.196531690343,17060.792164582581,9.5947679444618625,1436.7633234099071,1007.6122530852827
1.9500000000000002,1.9796940061884751,4.7283966479763,11886.160249352715,19991.2568277742,11.393805883257354,1439.6208972562263,1009.0319569012842
2.25,2.282286505789314,4.5608185348245573,13454.74382840279,22757.732186191384,13.094625912188635,1441.0571889531693,1010.3871815883863
2.55,2.583801833315146,4.0079812043243557,19988.585845053662,34453.596932960427,20.472640869614956,1448.0638962106282,1016.2628785651914
2.85,2.8842073875475691,3.7115555143679035,21576.922550580875,37575.328407029883,22.4580543492699,1449.3245659816839,1017.8586567780699
3.15,3.1843000514314426,3.387620853260874,21930.889667966949,38627.558437056825,23.089947542876224,1448.7294232243826,1018.383010376945
3.4499999999999997,3.4842715464869611,3.1786405082905431,22109.95314190118,39231.759841991188,23.447005641061491,1448.2788294899735,1018.681458527837
3.75,3.7841662017836168,2.9858262175791515,22216.426920123438,39692.283421256121,23.711762076606689,1447.7774534953426,1018.9053186788657
4.05,4.0840027706591941,2.8333942987091323,22292.58629435275,40046.474488716325,23.913675398960471,1447.3706530827171,1019.0765698328863
4.35,4.383796088832443,2.641912297618572,22289.03088758167,40317.45460950242,24.052624482760645,1446.7072415905268,1019.1997144550235
4.6499999999999995,4.6835542863334325,2.4227906297856188,22258.045547051122,40583.115423116818,24.181241174746841,1445.9038858077142,1019.3157667732611
4.9499999999999993,4.9832767689563449,2.2029366044230132,22237.708131400017,40873.727080965808,24.324434570547282,1445.1117960618092,1019.4430115080853
5.2499999999999991,5.2829704403724991,2.0424640974790811,22197.310394511449,41041.582443259489,24.399124921118364,1444.4932460202442,1019.5121450169916
5.55,5.5826504991473618,1.8156357597641852,22064.28231473159,41140.703342633751,24.4137040125518,1443.4936938772169,1019.5360136638511
5.85,5.8823321323486493,1.8138205432957497,22026.317616681405,41072.695293675031,24.36904433800078,1443.4318993506001,1019.5018198833695
6.1499999999999995,6.1819966849669621,1.606113416244723,22037.773885941628,41414.86872052151,24.544159231639274,1442.7240021016539,1019.6526342860899
6.4499999999999993,6.4816290548330286,1.5292777750876019,22053.953181003842,41565.310160297078,24.623900992244518,1442.4838415119275,1019.7212182710919
6.813950626938432,6.8450961875367087,1.5897276990910045,22239.540490060816,41819.797370134591,24.802658241547853,1442.9990115230808,1019.8634606957238
