% Device,CC1838007
% File name,CC1838007_20210702_001705
% Cast time (UTC),2021-07-02 00:17:05
% Cast time (local),2021-07-01 16:17:05
% Sample type,Cast
% Cast data,Processed
% Location source,GPS
% Default latitude,32
% Default altitude,0
% Start latitude,59.7954472
% Start longitude,-140.0882378
% Start altitude,6.6789999008178711
% Start GPS horizontal error(Meter),6.379000186920166
% Start GPS vertical error(Meter),6.9840002059936523
% Start GPS number of satellites,11
% End latitude,59.7955182
% End longitude,-140.0879482
% End altitude,16.232000350952148
% End GPS horizontal error(Meter),36.851001739501953
% End GPS vertical error(Meter),37.604999542236328
% End GPS number of satellites,8
% Cast duration (Seconds),51.6
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2018-09-19
% Temperature calibration date,2018-09-18
% Pressure calibration date,2018-09-17
% 
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.15284057690670924,12.887402028961407,224.07960776974383,295.71783200977427,0.14014005866851428,1458.5186912381391,999.50357483512187
0.44999999999999996,0.45850921294831126,12.322057418297741,218.49616670630866,292.71720507989386,0.13845816820692547,1456.4184274802315,999.57270531167842
0.74999999999999989,0.76416176081527354,11.98601847235393,216.83126551264712,293.12598985846876,0.13850119195930102,1455.1590457905484,999.61328986482977
1.05,1.0698004712406004,11.551101769375364,215.30213674938955,294.52208870182704,0.13896340121958239,1453.5123033236137,999.66359578346692
1.35,1.3754299846666285,11.468856599108607,214.69857080754974,294.3587910743513,0.1388447380709259,1453.20252169478,999.67383014832524
1.65,1.6810492854686137,10.94704251415193,214.0598930466935,297.74339983938961,0.14020118100576881,1451.198866734695,999.73078682014011
1.9500000000000002,1.9866526738166335,10.464999281780983,209.55623460053212,295.44091194749433,0.13884434265655121,1449.3217204218488,999.77831580962788
2.25,2.2922478263498745,10.407615358799223,209.06527561078036,295.22642727029216,0.13871002211507238,1449.1010214089054,999.78505200684845
2.55,2.5978354864639863,9.9586395807972981,207.53005202250768,296.82226555592774,0.13922069787989716,1447.3323793506347,999.82772151144547
2.85,2.9034077599048258,9.2753529254173479,204.06038216537766,297.67801750927259,0.13922289564276438,1444.5992962601417,999.88611985186958
3.15,3.2089668466808212,8.9256863869093888,202.55139836140438,298.52218176425919,0.13940576442363337,1443.1853601961925,999.91439891925779
3.4499999999999997,3.5145183620767946,8.6403388726296342,200.52660397286573,298.04486324009309,0.13899298820564729,1442.0226359602625,999.93605296159762
3.75,3.8200642286470239,8.4375143820884873,200.11163291716838,299.23221958203095,0.13942331561453927,1441.1935142493842,999.95175082334674
4.05,4.1256052688382852,8.2232179555773453,200.35231665952875,301.52454968001473,0.14036869095787796,1440.3133583422316,999.96802303821551
4.35,4.4311406679657006,7.9191395445791963,200.06056022315968,303.86663046316426,0.14127014671264257,1439.0539339928073,999.98905468838007
4.5370557673342589,4.6216425948405995,7.364192177584802,201.742189259991,311.67499586119152,0.14457663083231975,1436.7276912837717,1000.0236392003385
