% Device,CC1838007
% File name,CC1838007_20210628_221814
% Cast time (UTC),2021-06-28 22:18:14
% Cast time (local),2021-06-28 14:18:14
% Sample type,Cast
% Cast data,Processed
% Location source,GPS
% Default latitude,32
% Default altitude,0
% Start latitude,59.7227493
% Start longitude,-140.6354045
% Start altitude,9.8599996566772461
% Start GPS horizontal error(Meter),6.28000020980835
% Start GPS vertical error(Meter),7.2960000038146973
% Start GPS number of satellites,10
% End latitude,59.7227819
% End longitude,-140.6353524
% End altitude,13.961000442504883
% End GPS horizontal error(Meter),14.407999992370606
% End GPS vertical error(Meter),24.823999404907227
% End GPS number of satellites,10
% Cast duration (Seconds),61.8
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2018-09-19
% Temperature calibration date,2018-09-18
% Pressure calibration date,2018-09-17
% 
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.15251004227048226,4.2837371826171875,2436.494140625,4160.1489001057244,2.1228696162814509,1425.7173089864882,1001.6766453087405
0.44999999999999996,0.45748116720095877,4.3109441603177148,2846.5748576050246,4855.8225249168663,2.500835299862874,1426.3365778861626,1001.9795323570702
0.74999999999999989,0.76235525059013842,3.9324942080654095,3260.0522544100636,5633.8942487393133,2.921247587952589,1425.1682823888775,1002.3209299375922
1.05,1.0670453823764612,3.78607946759881,4369.21218778384,7589.1060342235223,4.0067554562410219,1425.9154177609792,1003.1902912789897
1.35,1.3710831081827184,3.6333046012988559,8609.40532433732,15033.900983868243,8.3212444598834345,1430.8032320351638,1006.6302475425636
1.65,1.6739950816608455,3.6370491402690277,13385.291584299321,23370.584585611348,13.393885381453934,1437.3488304166249,1010.6621681278565
1.9500000000000002,1.9756787711198944,3.5303603642564081,18107.360907768463,31733.494909608366,18.653431007897471,1443.6329596971425,1014.844419555164
2.25,2.27647599531715,3.4918636093810487,20068.958202292561,35218.753110422695,20.890531148374475,1446.3425376790467,1016.6247125082091
2.55,2.576882210845131,3.2940552281908162,20891.349074170939,36918.265878967781,21.960168242127388,1446.8547548003251,1017.4877630219231
2.85,2.8771260692379554,3.2364578332839922,21111.129440473629,37382.750990084685,22.252093033694759,1446.9824295202848,1017.7247055939722
3.15,3.1773240157288019,3.1628647671952743,21142.365351951372,37535.892613770004,22.338768006107266,1446.775046611833,1017.7993867135674
3.4499999999999997,3.4774649739176891,2.9443248589427884,21334.125504924581,38172.554915201683,22.713595074168254,1446.2990829611385,1018.1116249591986
3.75,3.7775223101783695,2.8517456689154717,21545.845230852152,38679.523874330873,23.026137564244891,1446.2982869932912,1018.3671371657958
