% Device,CC1838007
% File name,CC1838007_20210629_182423
% Cast time (UTC),2021-06-29 18:24:23
% Cast time (local),2021-06-29 10:24:23
% Sample type,Cast
% Cast data,Processed
% Location source,GPS
% Default latitude,32
% Default altitude,0
% Start latitude,59.7154332
% Start longitude,-140.6348083
% Start altitude,7.3649997711181641
% Start GPS horizontal error(Meter),3.6840000152587891
% Start GPS vertical error(Meter),4.9479999542236328
% Start GPS number of satellites,8
% End latitude,59.715355
% End longitude,-140.6344315
% End altitude,9.2749996185302734
% End GPS horizontal error(Meter),18.219999313354492
% End GPS vertical error(Meter),38.442001342773438
% End GPS number of satellites,7
% Cast duration (Seconds),45.8
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2018-09-19
% Temperature calibration date,2018-09-18
% Pressure calibration date,2018-09-17
% 
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.15250883864253179,5.5427681252113992,2574.4493520205619,4214.499061556071,2.1668098535760461,1431.3963635335028,1001.6843552155692
0.44999999999999996,0.45752114701333962,5.4239095138669189,2588.5796878597266,4254.1864757385592,2.1870923635340849,1430.9036489533403,1001.7055600753052
0.74999999999999989,0.76249465664819815,4.9690329445995731,2866.7013687513459,4782.772560680718,2.4700232392189574,1429.2565464268021,1001.9441901840962
1.05,1.0671731045625394,4.4165805678074612,5057.2498606638956,8595.9172736045057,4.5939235356405241,1429.5286222392519,1003.6477612305233
1.35,1.3711210773631317,4.040139462124869,8891.006743148535,15308.133686383439,8.5074985937617349,1432.8756051431403,1006.7679694898571
1.65,1.6739289315634209,4.0214607825199149,14208.177275952941,24478.742442404469,14.120512431507819,1439.9869837095623,1011.2226239686378
1.9500000000000002,1.9754583000614314,3.578357510712463,18672.216015458889,32668.455505988572,19.259434789644157,1444.6225909122347,1015.3230412016339
2.25,2.2761394884510628,3.3383412984698895,20311.637361847334,35837.731552312216,21.266770252290762,1446.151856663045,1016.9325554685358
2.55,2.5764721999040114,3.0537208358095635,20943.943181512161,37328.280451800129,22.185032980124539,1446.085453728246,1017.6804525978059
2.85,2.8766171238295448,2.7463793039741176,21306.294245213907,38394.728933447193,22.821697504235374,1445.551657408223,1018.2057675967155
3.15,3.1766635524094422,2.805305202419623,21498.005377990692,38658.099994744756,23.003757630522703,1446.0538240840435,1018.3490264434932
3.4499999999999997,3.4766408475472232,2.6430172807194516,21736.188984932607,39315.876346272154,23.4005550050205,1445.8519812596794,1018.6755444977803
3.75,3.7765383057397677,2.5563328750899843,21905.593966014359,39746.932339129009,23.663953069888688,1445.8127370878879,1018.8916674112516
4.05,4.0763860374966594,2.6447079875447934,22094.740378604711,39961.971001031015,23.821434290215176,1446.4149681654064,1019.0138230748347
4.35,4.376186191867002,2.6060893928656683,22280.826713005255,40354.912997498592,24.069876110477594,1446.5705207115286,1019.2154758138112
4.6499999999999995,4.6759392977414747,2.5286077622414629,22351.119025347398,40596.166755669416,24.211456288197748,1446.4146168933846,1019.3341117606781
4.9499999999999993,4.9756671502084107,2.4611333187241797,22359.1455826792,40710.529538549265,24.272093643955905,1446.1977576596871,1019.3876138875014
5.2499999999999991,5.2753800842859953,2.3304440822624461,22317.549516725092,40829.101513226531,24.322118226266042,1445.6843843051991,1019.4359769198568
5.55,5.5750748700123323,2.1761132434518426,22287.893471077005,41006.403806562244,24.404839862740218,1445.1059313595176,1019.5114655976109
5.85,5.8747437214645855,2.0041920365485408,22272.715978061438,41239.367480272442,24.519164177753293,1444.4872995057558,1019.6128228165796
6.1499999999999995,6.17438259845151,1.8448460451255204,22267.501682124919,41474.444749457311,24.636656950404429,1443.9269390289812,1019.7158369979206
6.4499999999999993,6.47399706552818,1.7254153445608287,22248.826948181373,41624.847848640573,24.70734425803392,1443.4839181746625,1019.7793527904531
6.7499999999999991,6.7735972201989014,1.6420632030257767,22224.993204030674,41710.345468864718,24.743711061938097,1443.158405309528,1019.8136527576982
7.0499999999999989,7.0731764393868737,1.5141014507649651,22246.265303022839,41951.761677333794,24.870587347017995,1442.7479747401942,1019.9222778142995
7.35,7.3727354472857431,1.4741232019531982,22247.209265356425,42016.895320097094,24.903328128544729,1442.6137283605367,1019.9516557327958
7.6499999999999995,7.6722759145116237,1.3967950359974684,22291.325130697984,42223.544752874681,25.018880207724628,1442.417747435398,1020.0489313282257
7.9499999999999993,7.9717974792328619,1.3549096443978621,22293.28034910643,42294.359286193205,25.054649135771935,1442.2783850849626,1020.0807811184965
